TOT,NaCl,pH,pKa
0.275,46.752,6.2,6.773770046
0.275,52.596,6.2,6.712813463
0.275,58.44,6.2,6.716694771
0.3,5.844,6.2,7.097064983
0.3,11.688,6.2,7.109638386
0.3,17.532,6.2,7.10918823
0.3,23.376,6.2,6.94048039
0.3,29.22,6.2,6.908943743
0.3,35.064,6.2,6.870429492
0.3,40.908,6.2,6.824469452
0.3,46.752,6.2,6.770742581
0.3,52.596,6.2,6.708956676
0.3,58.44,6.2,6.719077229
0.325,5.844,6.2,7.097501004
0.325,11.688,6.2,7.109830536
0.325,17.532,6.2,7.108945216
0.325,23.376,6.2,6.939385869
0.325,29.22,6.2,6.907506284
0.325,35.064,6.2,6.8685599
0.325,40.908,6.2,6.822061143
0.325,46.752,6.2,6.767658637
0.325,52.596,6.2,6.705017175
0.325,58.44,6.2,6.721464111
0.35,5.844,6.2,7.09793688
0.35,11.688,6.2,7.110012024
0.35,17.532,6.2,7.108689039
0.35,23.376,6.2,6.938277318
0.35,29.22,6.2,6.906048837
0.35,35.064,6.2,6.86666211
0.35,40.908,6.2,6.819612558
0.35,46.752,6.2,6.764516218
0.35,52.596,6.2,6.700991496
0.35,58.44,6.2,6.723854738
0.375,5.844,6.2,7.098371897
0.375,11.688,6.2,7.110182771
0.375,17.532,6.2,7.108419606
0.375,23.376,6.2,6.937154442
0.375,29.22,6.2,6.90457096
0.375,35.064,6.2,6.864735399
0.375,40.908,6.2,6.817122477
0.375,46.752,6.2,6.76131322
0.375,52.596,6.2,6.696875947
0.375,58.44,6.2,6.726248459
0.4,5.844,6.2,7.098805391
0.4,11.688,6.2,7.110342696
0.4,17.532,6.2,7.108136822
0.4,23.376,6.2,6.936016944
0.4,29.22,6.2,6.903072196
0.4,35.064,6.2,6.862779016
0.4,40.908,6.2,6.81458962
0.4,46.752,6.2,6.758047414
0.4,52.596,6.2,6.692666589
0.4,58.44,6.2,6.728644648
0.425,5.844,6.2,7.09923675
0.425,11.688,6.2,7.110491725
0.425,17.532,6.2,7.107840584
0.425,23.376,6.2,6.934864516
0.425,29.22,6.2,6.901552075
0.425,35.064,6.2,6.860792179
0.425,40.908,6.2,6.812012645
0.425,46.752,6.2,6.754716444
0.425,52.596,6.2,6.692305592
0.425,58.44,6.2,6.731042701
0.45,5.844,6.2,7.099665401
0.45,11.688,6.2,7.110629782
0.45,17.532,6.2,7.107530788
0.45,23.376,6.2,6.933696842
0.45,29.22,6.2,6.900010106
0.45,35.064,6.2,6.858774073
0.45,40.908,6.2,6.809390143
0.45,46.752,6.2,6.751317814
0.45,52.596,6.2,6.694453542
0.45,58.44,6.2,6.733442041
0.475,5.844,6.2,7.100090814
0.475,11.688,6.2,7.110756793
0.475,17.532,6.2,7.107207325
0.475,23.376,6.2,6.932513599
0.475,29.22,6.2,6.898445784
0.475,35.064,6.2,6.856723845
0.475,40.908,6.2,6.806720633
0.475,46.752,6.2,6.747848875
0.475,52.596,6.2,6.696611685
0.475,58.44,6.2,6.735842114
0.5,5.844,6.2,7.100512497
0.5,11.688,6.2,7.110872686
0.5,17.532,6.2,7.106870082
0.5,23.376,6.2,6.931314455
0.5,29.22,6.2,6.896858584
0.5,35.064,6.2,6.85464061
0.5,40.908,6.2,6.804002555
0.5,46.752,6.2,6.744306815
0.5,52.596,6.2,6.698779243
0.5,58.44,6.2,6.738242388
0.025,5.844,6.3,7.092613304
0.025,11.688,6.3,7.106916352
0.025,17.532,6.3,7.110993819
0.025,23.376,6.3,6.951469638
0.025,29.22,6.3,6.923291096
0.025,35.064,6.3,6.888987241
0.025,40.908,6.3,6.848194352
0.025,46.752,6.3,6.800812077
0.025,52.596,6.3,6.746860817
0.025,58.44,6.3,6.693703744
0.05,5.844,6.3,7.093071191
0.05,11.688,6.3,7.107283389
0.05,17.532,6.3,7.110862112
0.05,23.376,6.3,6.950305066
0.05,29.22,6.3,6.921782386
0.05,35.064,6.3,6.887050412
0.05,40.908,6.3,6.845742461
0.05,46.752,6.3,6.797744317
0.05,52.596,6.3,6.743056313
0.05,58.44,6.3,6.696427916
0.075,5.844,6.3,7.093547164
0.075,11.688,6.3,7.10763611
0.075,17.532,6.3,7.11071186
0.075,23.376,6.3,6.949124121
0.075,29.22,6.3,6.920250552
0.075,35.064,6.3,6.885082214
0.075,40.908,6.3,6.843248091
0.075,46.752,6.3,6.794618707
0.075,52.596,6.3,6.739172654
0.075,58.44,6.3,6.699170945
0.1,5.844,6.3,7.09403823
0.1,11.688,6.3,7.107974272
0.1,17.532,6.3,7.110542952
0.1,23.376,6.3,6.947926399
0.1,29.22,6.3,6.918695055
0.1,35.064,6.3,6.88308184
0.1,40.908,6.3,6.84070999
0.1,46.752,6.3,6.791433289
0.1,52.596,6.3,6.735206779
0.1,58.44,6.3,6.701931305
0.125,5.844,6.3,7.094541684
0.125,11.688,6.3,7.108297651
0.125,17.532,6.3,7.110355271
0.125,23.376,6.3,6.946711485
0.125,29.22,6.3,6.917115337
0.125,35.064,6.3,6.881048449
0.125,40.908,6.3,6.838126851
0.125,46.752,6.3,6.788186002
0.125,52.596,6.3,6.73115544
0.125,58.44,6.3,6.70470752
0.15,5.844,6.3,7.095055075
0.15,11.688,6.3,7.108606035
0.15,17.532,6.3,7.110148694
0.15,23.376,6.3,6.945478959
0.15,29.22,6.3,6.915510823
0.15,35.064,6.3,6.878981169
0.15,40.908,6.3,6.835497301
0.15,46.752,6.3,6.784874672
0.15,52.596,6.3,6.727015191
0.15,58.44,6.3,6.707498162
0.175,5.844,6.3,7.095576181
0.175,11.688,6.3,7.108899224
0.175,17.532,6.3,7.109923092
0.175,23.376,6.3,6.94422839
0.175,29.22,6.3,6.913880917
0.175,35.064,6.3,6.876879086
0.175,40.908,6.3,6.832819903
0.175,46.752,6.3,6.781497006
0.175,52.596,6.3,6.722782368
0.175,58.44,6.3,6.710301849
0.2,5.844,6.3,7.096102989
0.2,11.688,6.3,7.109177034
0.2,17.532,6.3,7.109678332
0.2,23.376,6.3,6.942959336
0.2,29.22,6.3,6.912225002
0.2,35.064,6.3,6.874741252
0.2,40.908,6.3,6.830093147
0.2,46.752,6.3,6.778050579
0.2,52.596,6.3,6.718453073
0.2,58.44,6.3,6.713117252
0.225,5.844,6.3,7.09663367
0.225,11.688,6.3,7.109439288
0.225,17.532,6.3,7.109414273
0.225,23.376,6.3,6.941671348
0.225,29.22,6.3,6.91054244
0.225,35.064,6.3,6.872566676
0.225,40.908,6.3,6.827315447
0.225,46.752,6.3,6.774532828
0.225,52.596,6.3,6.714023151
0.225,58.44,6.3,6.715943085
0.25,5.844,6.3,7.097166561
0.25,11.688,6.3,7.109685819
0.25,17.532,6.3,7.109130766
0.25,23.376,6.3,6.940363962
0.25,29.22,6.3,6.908832568
0.25,35.064,6.3,6.87035432
0.25,40.908,6.3,6.824485138
0.25,46.752,6.3,6.770941039
0.25,52.596,6.3,6.709488169
0.25,58.44,6.3,6.718778114
0.275,5.844,6.3,7.09770015
0.275,11.688,6.3,7.109916467
0.275,17.532,6.3,7.108827656
0.275,23.376,6.3,6.939036704
0.275,29.22,6.3,6.907094699
0.275,35.064,6.3,6.868103105
0.275,40.908,6.3,6.821600465
0.275,46.752,6.3,6.767272334
0.275,52.596,6.3,6.704843391
0.275,58.44,6.3,6.721621151
0.3,5.844,6.3,7.098233059
0.3,11.688,6.3,7.11013108
0.3,17.532,6.3,7.108504781
0.3,23.376,6.3,6.937689088
0.3,29.22,6.3,6.90532812
0.3,35.064,6.3,6.865811899
0.3,40.908,6.3,6.818659583
0.3,46.752,6.3,6.76352366
0.3,52.596,6.3,6.700083746
0.3,58.44,6.3,6.724471056
0.325,5.844,6.3,7.098764033
0.325,11.688,6.3,7.110329511
0.325,17.532,6.3,7.10816197
0.325,23.376,6.3,6.936320613
0.325,29.22,6.3,6.90353209
0.325,35.064,6.3,6.863479518
0.325,40.908,6.3,6.815660544
0.325,46.752,6.3,6.759691772
0.325,52.596,6.3,6.695203802
0.325,58.44,6.3,6.727326735
0.35,5.844,6.3,7.099291925
0.35,11.688,6.3,7.110511617
0.35,17.532,6.3,7.107799045
0.35,23.376,6.3,6.934930764
0.35,29.22,6.3,6.901705839
0.35,35.064,6.3,6.861104723
0.35,40.908,6.3,6.812601295
0.35,46.752,6.3,6.755773219
0.35,52.596,6.3,6.691402585
0.35,58.44,6.3,6.730187138
0.375,5.844,6.3,7.099815689
0.375,11.688,6.3,7.11067726
0.375,17.532,6.3,7.107415818
0.375,23.376,6.3,6.93351901
0.375,29.22,6.3,6.899848567
0.375,35.064,6.3,6.858686213
0.375,40.908,6.3,6.809479666
0.375,46.752,6.3,6.751764325
0.375,52.596,6.3,6.693951932
0.375,58.44,6.3,6.733051262
0.4,5.844,6.3,7.100334366
0.4,11.688,6.3,7.110826304
